,CAMIS,ZIPCODE,CUISINE DESCRIPTION,GRADE,ClosestWorkingTankDis,ClosestBadTankDis,BORO_Bronx,BORO_Brooklyn,BORO_Manhattan,BORO_Queens,BORO_Staten Island,RESULT,Pop,White,Black,Hispanic,Native,Asian,Inc,Unemp
36,40364715,2.8236765318882866,2.834724483081079,2.0,0.0850832046185319,1.938834099764608,0.0,0.0,1.0,0.0,0.0,0.0,3929.0,49.0,5.8,30.5,0.0,11.5,65689.0,11.3
37,40364744,2.937984496124031,2.7798186201354604,3.0,1.893742833838008,7.909111493018905,0.0,0.0,0.0,1.0,0.0,0.0,3928.0,29.6,8.9,54.4,0.0,5.2,28018.0,10.4
38,40364858,2.975,2.834724483081079,3.0,1.4061140686397764,9.133751062382826,0.0,0.0,0.0,1.0,0.0,0.0,2920.0,62.9,1.2,3.0,0.0,31.3,52639.0,6.3
39,40364956,2.876777251184834,2.834724483081079,3.0,0.5006044508348428,6.388218680433593,1.0,0.0,0.0,0.0,0.0,0.0,5622.0,2.8,14.2,60.9,0.0,17.8,18825.0,18.6
40,40365013,2.851694915254237,2.804656538969617,3.0,2.375739094272588,8.89873715902321,0.0,0.0,0.0,0.0,1.0,0.0,3470.0,80.3,1.7,5.6,0.0,10.3,39558.0,4.2
41,40365075,2.77466433158202,2.8146341463414632,3.0,0.075679259969079,1.557813191012845,0.0,0.0,1.0,0.0,0.0,0.0,8614.0,66.6,3.1,9.0,0.1,18.8,58442.0,4.9
42,40365098,2.7971556886227544,2.804656538969617,2.0,0.1893770417418972,0.6836533461458637,0.0,0.0,1.0,0.0,0.0,0.0,7897.0,34.8,1.0,5.9,0.4,55.1,53593.0,5.8
43,40365166,2.7844058243306717,2.834724483081079,3.0,0.103261842219547,1.7198595565726504,0.0,0.0,1.0,0.0,0.0,0.0,5599.0,81.4,1.4,8.5,0.0,7.4,114729.0,4.2
44,40365226,2.7710280373831773,2.9737774627923463,3.0,0.6224659492568297,5.431190328783569,0.0,1.0,0.0,0.0,0.0,0.0,4856.0,3.2,81.1,8.6,0.0,1.9,26842.0,14.0
45,40365239,2.791741472172352,2.8146341463414632,3.0,0.0440462036323306,1.844740051412228,0.0,0.0,1.0,0.0,0.0,0.0,4463.0,79.1,1.1,5.4,1.3,11.0,98530.0,2.6
46,40365264,2.7959025898724392,2.863381160324392,3.0,0.0333825707437471,0.4391950320408519,0.0,0.0,1.0,0.0,0.0,0.0,258.0,82.6,0.4,3.1,9.7,4.3,61424.0,0.0
47,40365288,2.801546391752577,2.834724483081079,3.0,0.0232229519607459,0.1788329745253355,0.0,0.0,1.0,0.0,0.0,0.0,7306.0,60.1,2.4,10.0,0.0,25.4,101494.0,2.2
48,40365361,2.8180451127819546,2.834724483081079,3.0,0.0499178392845997,0.480600155314961,0.0,0.0,1.0,0.0,0.0,0.0,149.0,55.0,0.0,4.7,8.1,32.2,136078.0,4.1
49,40365387,2.802474591250552,2.804656538969617,3.0,0.071331408159945,1.1055698287224025,0.0,0.0,1.0,0.0,0.0,0.0,6264.0,77.4,3.7,5.5,0.0,9.5,68694.0,3.4
50,40365499,2.75164113785558,2.834724483081079,2.0,0.4498813034398712,4.797856982695695,1.0,0.0,0.0,0.0,0.0,0.0,7622.0,0.7,23.8,73.2,0.0,1.2,14042.0,15.0
51,40365525,2.8236765318882866,2.9737774627923463,3.0,0.0148747127326523,1.812585840304355,0.0,0.0,1.0,0.0,0.0,0.0,8957.0,77.0,1.5,9.2,0.0,8.9,108123.0,4.8
52,40365546,2.805080352514256,2.834724483081079,3.0,0.4625814117014649,2.790096674252604,0.0,1.0,0.0,0.0,0.0,0.0,3338.0,66.4,4.5,25.5,0.0,3.6,16314.0,3.8
53,40365577,2.694304253785148,2.804656538969617,3.0,0.0275456427238663,3.430181483068244,0.0,0.0,1.0,0.0,0.0,0.0,939.0,45.8,6.5,19.0,0.0,27.5,57343.0,8.1
54,40365627,2.688116486613433,2.834724483081079,3.0,0.5648738050597913,2.1865912352787875,0.0,0.0,0.0,1.0,0.0,0.0,7318.0,19.6,0.3,60.6,0.0,18.5,31167.0,3.4
55,40365644,2.818045112781955,2.834724483081079,3.0,0.0482432268279157,0.9793844709700792,0.0,0.0,1.0,0.0,0.0,0.0,6974.0,53.6,3.1,26.1,0.0,15.2,57341.0,6.6
56,40365784,2.8688946015424164,2.804656538969617,3.0,0.3969668585068409,9.592568478074032,0.0,1.0,0.0,0.0,0.0,0.0,2185.0,38.0,2.2,40.8,0.0,19.1,20040.0,12.2
57,40365789,2.831124894276854,2.804656538969617,3.0,0.0039927337751759,0.9660518336400232,0.0,0.0,1.0,0.0,0.0,0.0,6698.0,76.0,1.0,4.8,0.3,16.8,116745.0,4.5
58,40365841,2.7141931302657163,2.804656538969617,3.0,0.4646326275295442,3.754136591487486,0.0,0.0,0.0,1.0,0.0,0.0,4537.0,4.8,0.7,87.8,0.0,6.6,15516.0,7.2
59,40365871,2.7959025898724392,2.834724483081079,3.0,0.0159299747337884,0.5394110853775145,0.0,0.0,1.0,0.0,0.0,0.0,7456.0,80.3,4.1,7.8,0.0,7.6,106868.0,6.7
60,40365882,2.7849877236057523,2.7798186201354604,3.0,0.0081078423990964,1.237353683573249,0.0,0.0,1.0,0.0,0.0,0.0,3299.0,72.9,3.8,4.2,0.0,15.6,84944.0,8.4
61,40365904,2.7971556886227544,2.8850716757291157,3.0,0.1555299667092424,0.7245627301787364,0.0,0.0,1.0,0.0,0.0,0.0,1343.0,20.6,0.7,1.5,1.1,71.3,44799.0,4.5
62,40365942,2.7971556886227544,2.714226260664493,3.0,0.1095480584467167,0.6911701216135429,0.0,0.0,1.0,0.0,0.0,1.0,1343.0,20.6,0.7,1.5,1.1,71.3,44799.0,4.5
63,40365968,2.7971556886227544,2.834724483081079,3.0,0.0329801034135505,0.5917387726059019,0.0,0.0,1.0,0.0,0.0,1.0,2360.0,83.1,0.0,3.0,0.0,6.5,122003.0,5.1
64,40365972,2.746987951807229,2.834724483081079,3.0,0.2163740208027827,7.245984812150729,0.0,0.0,0.0,1.0,0.0,0.0,6087.0,2.6,15.1,51.6,0.0,16.3,18458.0,18.5
65,40366002,2.6817733990147783,2.779818620135461,3.0,0.0181216805637499,7.681810645536313,0.0,0.0,0.0,1.0,0.0,0.0,3119.0,1.1,24.8,50.5,2.2,19.5,17641.0,11.7
66,40366109,2.84902411021814,2.834724483081079,3.0,0.6054489412884432,3.3192961915987502,0.0,1.0,0.0,0.0,0.0,0.0,3278.0,65.1,7.5,17.4,0.0,3.6,51266.0,6.6
67,40366154,2.8238897396630933,2.804656538969617,2.0,1.0603096333318525,8.183223746578692,0.0,1.0,0.0,0.0,0.0,0.0,2545.0,80.6,1.5,8.0,0.0,8.9,34317.0,5.2
68,40366222,2.825072886297376,2.8146341463414632,3.0,0.0691850973902851,0.6058365028443506,0.0,0.0,1.0,0.0,0.0,0.0,4374.0,66.0,1.9,10.6,0.0,19.5,93787.0,3.3
69,40366230,2.739957716701903,2.804656538969617,3.0,2.0524427408650987,8.164520780627965,0.0,0.0,0.0,1.0,0.0,0.0,6455.0,7.8,13.7,20.2,0.4,31.1,23148.0,10.7
70,40366356,2.906249999999995,2.834724483081079,2.0,2.434168300467405,11.796209429004229,0.0,0.0,0.0,1.0,0.0,0.0,4006.0,97.4,0.0,1.5,0.0,0.0,42135.0,4.5
