,BIN,BOROUGH,ZIP,STREET_NAME,BLOCK,LOT,CONFIRMATION_NUM,REPORTING_YEAR,MEET_STANDARDS,LATITUDE,LONGITUDE,CENSUS_TRACT,BBL
24668,1080440,MANHATTAN,10019,West 54th Street,1270,20,WTI7211035504,2020,Y,40.761405,-73.976222,104.0,1012700020.0
24669,1083428,MANHATTAN,10002,Essex Street,351,1,WTI4707512983,2020,Y,40.717165,-73.988907,18.0,1003510001.0
24675,1008892,MANHATTAN,10011,WASHINGTON SQUARE WEST,552,60,WTI5936234476,2017,Y,40.731822,-73.998957,65.0,1005520060.0
24677,1038000,MANHATTAN,10017,3 AVENUE,1322,1,WTI7209307287,2020,Y,40.75466,-73.971598,90.0,1013220001.0
24678,1017001,MANHATTAN,10016,EAST   32 STREET,861,66,WTI3078347266,2019,Y,40.746744,-73.98455,74.0,1008610066.0
24689,1081677,MANHATTAN,10016,EAST   29 STREET,935,6,WTI4784549083,2020,Y,40.741586,-73.978012,70.0,1009350006.0
24698,1034856,MANHATTAN,10019,WEST   55 STREET,1271,7501,WTI9516456321,2017,Y,40.762616,-73.977146,104.0,1012717501.0
24699,1020600,MANHATTAN,10010,1 AVENUE,930,20,WTI5161406559,2018,Y,40.737919,-73.977797,66.0,1009300034.0
24700,3034357,BROOKLYN,11225,BEDFORD AVENUE,1302,1,WTI6858285607,2020,Y,40.664696,-73.957236,325.0,3013020001.0
24701,1009265,MANHATTAN,10003,EAST   10 STREET,568,24,WTI4604945220,2016,Y,40.732843,-73.994061,61.0,1005680024.0
24704,1015654,MANHATTAN,10001,5 AVENUE,828,41,WTI0604018043,2019,Y,40.743918,-73.987867,58.0,1008280041.0
24705,1048136,MANHATTAN,10128,PARK AVENUE,1518,69,WTI7940805018,2020,Y,40.782473,-73.955513,14802.0,1015180069.0
24707,2001080,BRONX,10451,GERARD AVENUE,2349,90,WTI8068851442,2017,Y,40.816613,-73.930165,63.0,2023490090.0
24713,1035428,MANHATTAN,10017,5 AVENUE,1283,72,WTI6447055752,2020,Y,40.756998,-73.97831,94.0,1012830072.0
24720,1009143,MANHATTAN,10003,EAST   12 STREET,563,7501,WTI4986733337,2017,Y,40.733584,-73.992015,61.0,1005637501.0
24722,1087513,MANHATTAN,10022,EAST   53 STREET,1345,7501,WTI9494640064,2018,Y,40.756534,-73.966634,98.0,1013457501.0
24725,2085798,BRONX,10471,BLACKSTONE AVENUE,5908,210,WTI0308481945,2017,Y,40.890109,-73.911425,30701.0,2059080210.0
24727,1007050001,MANHATTAN,10001,HUDSON YARDS,705,1,WTI6593173075,2019,Y,40.755446,-74.00222,99.0,1007050001.0
24734,1047539,MANHATTAN,10028,PARK AVENUE,1509,69,WTI2966282475,2018,Y,40.776801,-73.959648,140.0,1015090069.0
24738,1017175,MANHATTAN,10016,5 AVENUE,866,1,WTI0604342196,2019,Y,40.749813,-73.983546,82.0,1008660001.0
24739,1001356,MANHATTAN,10038,PARK ROW,101,2,WTI1140768348,2020,Y,40.71187,-74.00641,1501.0,1001010002.0
24745,1083072,MANHATTAN,10016,EAST   30 STREET,886,7502,WTI3097801649,2019,Y,40.743601,-73.98087,72.0,1008867502.0
